Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
17-MAY-2022,15912.6,16284.25,15900.8,16259.3,295687774,22782.99
18-MAY-2022,16318.15,16399.8,16211.2,16240.3,290441105,23889.84
19-MAY-2022,15917.4,15984.75,15775.2,15809.4,313876082,24340.84
20-MAY-2022,16043.8,16283.05,16003.85,16266.15,252402013,22806.69
23-MAY-2022,16290.95,16414.7,16185.75,16214.7,293829853,25110.85
24-MAY-2022,16225.55,16262.8,16078.6,16125.15,249778296,21895.75
25-MAY-2022,16196.35,16223.35,16006.95,16025.8,243342347,21400.14
26-MAY-2022,16105,16204.45,15903.7,16170.15,314305739,27721.21
27-MAY-2022,16296.6,16370.6,16221.95,16352.45,274064956,21341.98
30-MAY-2022,16527.9,16695.5,16506.15,16661.4,251400757,21216.5
31-MAY-2022,16578.45,16690.75,16521.9,16584.55,651613610,52929.35
01-JUN-2022,16594.4,16649.2,16438.85,16522.75,249619038,19350.33
02-JUN-2022,16481.65,16646.4,16443.05,16628,235958283,20055.84
03-JUN-2022,16761.65,16793.85,16567.9,16584.3,245514871,22249.29
06-JUN-2022,16530.7,16610.95,16444.55,16569.55,233589132,17999.41
07-JUN-2022,16469.6,16487.25,16347.1,16416.35,233814633,17921.95
08-JUN-2022,16474.95,16514.3,16293.35,16356.25,243481044,18336.15
09-JUN-2022,16263.85,16492.8,16243.85,16478.1,204954394,16721.68
10-JUN-2022,16283.95,16324.7,16172.6,16201.8,189680523,18388.03
13-JUN-2022,15877.55,15886.15,15684,15774.4,225534385,20002.64
14-JUN-2022,15674.25,15858,15659.45,15732.1,225425862,19825.41
15-JUN-2022,15729.25,15783.65,15678.9,15692.15,183011236,16063.24
16-JUN-2022,15832.25,15863.15,15335.1,15360.6,264735957,21383.06
17-JUN-2022,15272.65,15400.4,15183.4,15293.5,342629997,29074
20-JUN-2022,15334.5,15382.5,15191.1,15350.15,260022438,18531.78
21-JUN-2022,15455.95,15707.25,15419.85,15638.8,262794687,18934.27
22-JUN-2022,15545.65,15565.4,15385.95,15413.3,220889589,16817.07
23-JUN-2022,15451.55,15628.45,15367.5,15556.65,259171810,21722.06
24-JUN-2022,15657.4,15749.25,15619.45,15699.25,219599372,18259.72
27-JUN-2022,15926.2,15927.45,15815.5,15832.05,210932505,17770.42
28-JUN-2022,15757.45,15892.1,15710.15,15850.2,251865155,18419.75
29-JUN-2022,15701.7,15861.6,15687.8,15799.1,444949551,22528.57
30-JUN-2022,15774.5,15890,15728.85,15780.25,306027777,23970.65
01-JUL-2022,15703.7,15793.95,15511.05,15752.05,364090131,25891.94
04-JUL-2022,15710.5,15852.35,15661.8,15835.35,304328467,19875.22
05-JUL-2022,15909.15,16025.75,15785.45,15810.85,254164463,19129.6
06-JUL-2022,15818.2,16011.35,15800.9,15989.8,288375300,22836.77
07-JUL-2022,16113.75,16150.5,16045.95,16132.9,264615218,21465.33
08-JUL-2022,16273.65,16275.5,16157.9,16220.6,281102369,20990.69
11-JUL-2022,16136.15,16248.55,16115.5,16216,255915072,20240.69
12-JUL-2022,16126.2,16158.75,16031.15,16058.3,208648707,16042.52
13-JUL-2022,16128.2,16140,15950.15,15966.65,233264100,19649.66
14-JUL-2022,16018.85,16070.85,15858.2,15938.65,228603433,18858.83
15-JUL-2022,16010.8,16066.95,15927.3,16049.2,205768079,17031.43
18-JUL-2022,16151.4,16287.95,16142.2,16278.5,227744850,19420.93
19-JUL-2022,16187.05,16359.5,16187.05,16340.55,222630928,18068.59
20-JUL-2022,16562.8,16588,16490.95,16520.85,284359582,22061.81
21-JUL-2022,16523.55,16626.95,16483.9,16605.25,243625339,20603.17
22-JUL-2022,16661.25,16752.25,16610.9,16719.45,190906776,18600.11
25-JUL-2022,16662.55,16706.05,16564.25,16631,211392171,19384.43
26-JUL-2022,16632.9,16636.1,16463.3,16483.85,208208122,20087.54
27-JUL-2022,16475.35,16653.45,16438.75,16641.8,185210970,17608.03
28-JUL-2022,16774.85,16947.65,16746.25,16929.6,376256315,26674.28
29-JUL-2022,17079.5,17172.8,17018.15,17158.25,436059722,28241.29
01-AUG-2022,17243.2,17356.25,17154.8,17340.05,381532671,23221.04
02-AUG-2022,17310.15,17390.15,17215.85,17345.45,333639093,22576.94
03-AUG-2022,17349.25,17407.5,17225.85,17388.15,285414666,20842.13
04-AUG-2022,17463.1,17490.7,17161.25,17382,324981426,21848.21
05-AUG-2022,17423.65,17474.4,17348.75,17397.5,355310802,20013.14
08-AUG-2022,17401.5,17548.8,17359.75,17525.1,256994113,18475.21
10-AUG-2022,17566.1,17566.1,17442.8,17534.75,312716544,21952.35
11-AUG-2022,17711.65,17719.3,17631.95,17659,311247237,20476.53
12-AUG-2022,17659.65,17724.65,17597.85,17698.15,303872483,18422.47
16-AUG-2022,17797.2,17839.1,17764.05,17825.25,278042725,18495.27
17-AUG-2022,17868.15,17965.95,17833.35,17944.25,262768582,21209.54
18-AUG-2022,17898.65,17968.45,17852.05,17956.5,263914197,18441.68
19-AUG-2022,17966.55,17992.2,17710.75,17758.45,295627263,21531.99
22-AUG-2022,17682.9,17690.05,17467.35,17490.7,287559133,19605.44
23-AUG-2022,17357.35,17625.55,17345.2,17577.5,285616338,20365.8
24-AUG-2022,17525.45,17623.65,17499.25,17604.95,261953239,17819.88
25-AUG-2022,17679,17726.5,17487.45,17522.45,230181848,17566.7
26-AUG-2022,17619.3,17685.85,17519.35,17558.9,266636238,17500.8
29-AUG-2022,17188.65,17380.15,17166.2,17312.9,244854637,19351.5
30-AUG-2022,17414.95,17777.65,17401.5,17759.3,324687477,26284.26
01-SEP-2022,17485.7,17695.6,17468.45,17542.8,308526598,26813.95
02-SEP-2022,17598.4,17643.85,17476.45,17539.45,256268616,19548.88
05-SEP-2022,17546.45,17683.15,17540.35,17665.8,230309013,17011.26
06-SEP-2022,17695.7,17764.65,17587.65,17655.6,251204527,17521.09
07-SEP-2022,17519.4,17650.75,17484.3,17624.4,354137885,25419.5
08-SEP-2022,17748.15,17807.65,17691.95,17798.75,279845682,19925.25
09-SEP-2022,17923.35,17925.95,17786,17833.35,270299618,20564.06
12-SEP-2022,17890.85,17980.55,17889.15,17936.35,228242025,17648.17
13-SEP-2022,18044.45,18088.3,18015.45,18070.05,259922741,21039.08
14-SEP-2022,17771.15,18091.55,17771.15,18003.75,365866933,26611.96
15-SEP-2022,18046.35,18096.15,17861.5,17877.4,289637528,22007.78
16-SEP-2022,17796.8,17820.05,17497.25,17530.85,468464263,36013.89
19-SEP-2022,17540.65,17667.2,17429.7,17622.25,258329581,19548.99
20-SEP-2022,17770.4,17919.3,17744.4,17816.25,263100874,20456.69
21-SEP-2022,17766.35,17838.7,17663.6,17718.35,245532498,19816.78
22-SEP-2022,17609.65,17722.75,17532.45,17629.8,284094023,21303.96
23-SEP-2022,17593.85,17642.15,17291.65,17327.35,390754862,23750.53
26-SEP-2022,17156.3,17196.4,16978.3,17016.3,492002942,27533.01
27-SEP-2022,17110.9,17176.45,16942.35,17007.4,359895458,22712.8
28-SEP-2022,16870.55,17037.6,16820.4,16858.6,323922457,21400.93
29-SEP-2022,16993.6,17026.05,16788.6,16818.1,340034380,24758.63
30-SEP-2022,16798.05,17187.1,16747.7,17094.35,380204763,26205.63
03-OCT-2022,17102.1,17114.65,16855.55,16887.35,285850587,21860.54
04-OCT-2022,17147.45,17287.3,17117.3,17274.3,231601639,18480.43
06-OCT-2022,17379.25,17428.8,17315.65,17331.8,268239320,20404.46
07-OCT-2022,17287.2,17337.35,17216.95,17314.65,216273136,17043.26
10-OCT-2022,17094.35,17280.15,17064.7,17241,234005512,16220.67
11-OCT-2022,17256.05,17261.8,16950.3,16983.55,282617982,22178.37
12-OCT-2022,17025.55,17142.35,16960.05,17123.6,256037322,18098.41
13-OCT-2022,17087.35,17112.35,16956.95,17014.35,266438674,18189.64
14-OCT-2022,17322.3,17348.55,17169.75,17185.7,226997138,17813.47
17-OCT-2022,17144.8,17328.55,17098.55,17311.8,212223419,16887.83
18-OCT-2022,17438.75,17527.8,17434.05,17486.95,239493630,18224.95
19-OCT-2022,17568.15,17607.6,17472.85,17512.25,210480869,17200.79
20-OCT-2022,17423.1,17584.15,17421,17563.95,249604832,18345.6
21-OCT-2022,17622.85,17670.15,17520.75,17576.3,277702680,23547.38
24-OCT-2022,17736.35,17777.55,17707.4,17730.75,45029477,3772.49
25-OCT-2022,17808.3,17811.5,17637,17656.35,251358203,20338.32
27-OCT-2022,17771.4,17783.9,17654.5,17736.95,324649088,24166.3
28-OCT-2022,17756.4,17838.9,17723.7,17786.8,250030113,19099.59
31-OCT-2022,17910.2,18022.8,17899.9,18012.2,227174539,19846.47
01-NOV-2022,18130.7,18175.8,18060.15,18145.4,349924808,26796.59
02-NOV-2022,18177.9,18178.75,18048.65,18082.85,270878019,20072.62
03-NOV-2022,17968.35,18106.3,17959.2,18052.7,212968291,16037.78
04-NOV-2022,18053.4,18135.1,18017.15,18117.15,267941526,21062.54
07-NOV-2022,18211.75,18255.5,18064.75,18202.8,314758398,25124.84
09-NOV-2022,18288.25,18296.4,18117.5,18157,307155149,23344.58
10-NOV-2022,18044.35,18103.1,17969.4,18028.2,256451785,19848.06
11-NOV-2022,18272.35,18362.3,18259.35,18349.7,378469072,30732.11
14-NOV-2022,18376.4,18399.45,18311.4,18329.15,301401961,21697.66
15-NOV-2022,18362.75,18427.95,18282,18403.4,250926391,17836.19
16-NOV-2022,18398.25,18442.15,18344.15,18409.65,219268992,19732.87
17-NOV-2022,18358.7,18417.6,18312.95,18343.9,200512910,16410.36
18-NOV-2022,18382.95,18394.6,18209.8,18307.65,198794846,16553.69
21-NOV-2022,18246.4,18262.3,18133.35,18159.95,213794598,15037.5
22-NOV-2022,18179.15,18261.85,18137.7,18244.2,177681099,14750.98
23-NOV-2022,18325.2,18325.4,18246,18267.25,178791087,15674.45
24-NOV-2022,18326.1,18529.7,18294.25,18484.1,204044559,18218.35
25-NOV-2022,18528.45,18534.9,18445.1,18512.75,205876043,17112.8
28-NOV-2022,18430.55,18614.25,18365.6,18562.75,206468884,19006.92
29-NOV-2022,18552.45,18678.1,18552.15,18618.05,195255179,16568.17
30-NOV-2022,18625.7,18816.05,18616.55,18758.35,345636288,32757.21
01-DEC-2022,18871.95,18887.6,18778.2,18812.5,324955829,22216.65
02-DEC-2022,18752.4,18781.95,18639.2,18696.1,254401004,20233.76
05-DEC-2022,18719.55,18728.6,18591.35,18701.05,288393766,19471.83
06-DEC-2022,18600.65,18654.9,18577.9,18642.75,217777090,17772.27
07-DEC-2022,18638.85,18668.3,18528.4,18560.5,200501720,17496.8
08-DEC-2022,18570.85,18625,18536.95,18609.35,202811256,19277.65
09-DEC-2022,18662.4,18664.7,18410.1,18496.6,215839572,20317.78
12-DEC-2022,18402.15,18521.55,18345.7,18497.15,193883468,16688.2
13-DEC-2022,18524.4,18617.25,18490.2,18608,187585567,16536.17
14-DEC-2022,18671.25,18696.1,18632.9,18660.3,208030337,16626
15-DEC-2022,18614.4,18652.9,18387.7,18414.9,183127544,15618.55
16-DEC-2022,18319.1,18440.95,18255.15,18269,277650193,23292.95
19-DEC-2022,18288.1,18431.65,18244.55,18420.45,154847475,14455.23
20-DEC-2022,18340.3,18404.9,18202.65,18385.3,169041783,15038.56
21-DEC-2022,18435.15,18473.35,18162.75,18199.1,187594274,17223.44
